resource_id,language_id,english_name,translation
827,6,Dire Claw,
828,6,Psyshield Bash,
829,6,Power Shift,
830,6,Stone Axe,
831,6,Springtide Storm,
832,6,Mystical Power,
833,6,Raging Fury,
834,6,Wave Crash,
835,6,Chloroblast,
836,6,Mountain Gale,
837,6,Victory Dance,
838,6,Headlong Rush,
839,6,Barb Barrage,
840,6,Esper Wing,
841,6,Bitter Malice,
842,6,Shelter,
843,6,Triple Arrows,
844,6,Infernal Parade,
845,6,Ceaseless Edge,
846,6,Bleakwind Storm,
847,6,Wildbolt Storm,
848,6,Sandsear Storm,
849,6,Lunar Blessing,
850,6,Take Heart,
851,6,Tera Blast,
852,6,Silk Trap,
853,6,Axe Kick,
854,6,Last Respects,
855,6,Lumina Crash,
856,6,Order Up,
857,6,Jet Punch,
858,6,Spicy Extract,
859,6,Spin Out,
860,6,Population Bomb,
861,6,Ice Spinner,
862,6,Glaive Rush,
863,6,Revival Blessing,
864,6,Salt Cure,
865,6,Triple Dive,
866,6,Mortal Spin,
867,6,Doodle,
868,6,Fillet Away,
869,6,Kowtow Cleave,
870,6,Flower Trick,
871,6,Torch Song,
872,6,Aqua Step,
873,6,Raging Bull,
874,6,Make It Rain,
877,6,Ruination,
878,6,Collision Course,
879,6,Electro Drift,
880,6,Shed Tail,
881,6,Chilly Reception,
882,6,Tidy Up,
883,6,Snowscape,
884,6,Pounce,
885,6,Trailblaze,
886,6,Chilling Water,
887,6,Hyper Drill,
888,6,Twin Beam,
889,6,Rage Fist,
890,6,Armor Cannon,
891,6,Bitter Blade,
892,6,Double Shock,
893,6,Gigaton Hammer,
894,6,Comeuppance,
895,6,Aqua Cutter,
896,6,Blazing Torque,
897,6,Wicked Torque,
898,6,Noxious Torque,
899,6,Combat Torque,
900,6,Magical Torque,
901,6,Blood Moon,
902,6,Matcha Gotcha,
903,6,Syrup Bomb,
904,6,Ivy Cudgel,
