resource_id,language_id,english_name,translation
10001,7,Mountaineer,
10002,7,Wave Rider,
10003,7,Skater,
10004,7,Thrust,
10005,7,Perception,
10006,7,Parry,
10007,7,Instinct,
10008,7,Dodge,
10009,7,Jagged Edge,
10010,7,Frostbite,
10011,7,Tenacity,
10012,7,Pride,
10013,7,Deep Sleep,
10014,7,Power Nap,
10015,7,Spirit,
10016,7,Warm Blanket,
10017,7,Gulp,
10018,7,Herbivore,
10019,7,Sandpit,
10020,7,Hot Blooded,
10021,7,Medic,
10022,7,Life Force,
10023,7,Lunchbox,
10024,7,Nurse,
10025,7,Melee,
10026,7,Sponge,
10027,7,Bodyguard,
10028,7,Hero,
10029,7,Last Bastion,
10030,7,Stealth,
10031,7,Vanguard,
10032,7,Nomad,
10033,7,Sequence,
10034,7,Grass Cloak,
10035,7,Celebrate,
10036,7,Lullaby,
10037,7,Calming,
10038,7,Daze,
10039,7,Frighten,
10040,7,Interference,
10041,7,Mood Maker,
10042,7,Confidence,
10043,7,Fortune,
10044,7,Bonanza,
10045,7,Explode,
10046,7,Omnipotent,
10047,7,Share,
10048,7,Black Hole,
10049,7,Shadow Dash,
10050,7,Sprint,
10051,7,Disgust,
10052,7,High-rise,
10053,7,Climber,
10054,7,Flame Boost,
10055,7,Aqua Boost,
10056,7,Run Up,
10057,7,Conqueror,
10058,7,Shackle,
10059,7,Decoy,
10060,7,Shield,
