resource_id,language_id,english_name,translation
663,7,god stone,
1659,7,Adamant Crystal,
1660,7,Lustrous Globe,
1661,7,Griseous Core,
1662,7,Blank Plate,
1663,7,Strange Ball,
1664,7,Legend Plate,
1665,7,Rotom Phone,
1666,7,Sandwich,
1667,7,Koraidon’s Poké Ball,
1668,7,Miraidon’s Poké Ball,
1669,7,Tera Orb,
1670,7,Scarlet Book,
1671,7,Violet Book,
1672,7,Kofu’s Wallet,
1673,7,Tiny Bamboo Shoot,
1674,7,Big Bamboo Shoot,
1675,7,Scroll of Darkness,
1676,7,Scroll of Waters,
1677,7,Malicious Armor,
1678,7,Normal Tera Shard,
1679,7,Fire Tera Shard,
1680,7,Water Tera Shard,
1681,7,Electric Tera Shard,
1682,7,Grass Tera Shard,
1683,7,Ice Tera Shard,
1684,7,Fighting Tera Shard,
1685,7,Poison Tera Shard,
1686,7,Ground Tera Shard,
1687,7,Flying Tera Shard,
1688,7,Psychic Tera Shard,
1689,7,Bug Tera Shard,
1690,7,Rock Tera Shard,
1691,7,Ghost Tera Shard,
1692,7,Dragon Tera Shard,
1693,7,Dark Tera Shard,
1694,7,Steel Tera Shard,
1695,7,Fairy Tera Shard,
1696,7,Booster Energy,
1697,7,Ability Shield,
1698,7,Clear Amulet,
1699,7,Mirror Herb,
1700,7,Punching Glove,
1701,7,Covert Cloak,
1702,7,Loaded Dice,
1703,7,Baguette,
1704,7,Mayonnaise,
1705,7,Ketchup,
1706,7,Mustard,
1707,7,Butter,
1708,7,Peanut Butter,
1709,7,Chili Sauce,
1710,7,Salt,
1711,7,Pepper,
1712,7,Yogurt,
1713,7,Whipped Cream,
1714,7,Cream Cheese,
1715,7,Jam,
1716,7,Marmalade,
1717,7,Olive Oil,
1718,7,Vinegar,
1719,7,Sweet Herba Mystica,
1720,7,Salty Herba Mystica,
1721,7,Sour Herba Mystica,
1722,7,Bitter Herba Mystica,
1723,7,Spicy Herba Mystica,
1724,7,Lettuce,
1725,7,Tomato,
1726,7,Cherry Tomatoes,
1727,7,Cucumber,
1728,7,Pickle,
1729,7,Onion,
1730,7,Red Onion,
1731,7,Green Bell Pepper,
1732,7,Red Bell Pepper,
1733,7,Yellow Bell Pepper,
1734,7,Avocado,
1735,7,Bacon,
1736,7,Ham,
1737,7,Prosciutto,
1738,7,Chorizo,
1739,7,Herbed Sausage,
1740,7,Hamburger,
1741,7,Klawf Stick,
1742,7,Smoked Fillet,
1743,7,Fried Fillet,
1744,7,Egg,
1745,7,Potato Tortilla,
1746,7,Tofu,
1747,7,Rice,
1748,7,Noodles,
1749,7,Potato Salad,
1750,7,Cheese,
1751,7,Banana,
1752,7,Strawberry,
1753,7,Apple,
1754,7,Kiwi,
1755,7,Pineapple,
1756,7,Jalapeño,
1757,7,Horseradish,
1758,7,Curry Powder,
1759,7,Wasabi,
1760,7,Watercress,
1761,7,Basil,
1762,7,Venonat Fang,
1763,7,Diglett Dirt,
1764,7,Meowth Fur,
1765,7,Psyduck Down,
1766,7,Mankey Fur,
1767,7,Growlithe Fur,
1768,7,Slowpoke Claw,
1769,7,Magnemite Screw,
1770,7,Grimer Toxin,
1771,7,Shellder Pearl,
1772,7,Gastly Gas,
1773,7,Drowzee Fur,
1774,7,Voltorb Sparks,
1775,7,Scyther Claw,
1776,7,Tauros Hair,
1777,7,Magikarp Scales,
1778,7,Ditto Goo,
1779,7,Eevee Fur,
1780,7,Dratini Scales,
1781,7,Pichu Fur,
1782,7,Igglybuff Fluff,
1783,7,Mareep Wool,
1784,7,Hoppip Leaf,
1785,7,Sunkern Leaf,
1786,7,Murkrow Bauble,
1787,7,Misdreavus Tears,
1788,7,Girafarig Fur,
1789,7,Pineco Husk,
1790,7,Dunsparce Scales,
