resource_id,language_id,english_name,translation
827,7,Dire Claw,
828,7,Psyshield Bash,
829,7,Power Shift,
830,7,Stone Axe,
831,7,Springtide Storm,
832,7,Mystical Power,
833,7,Raging Fury,
834,7,Wave Crash,
835,7,Chloroblast,
836,7,Mountain Gale,
837,7,Victory Dance,
838,7,Headlong Rush,
839,7,Barb Barrage,
840,7,Esper Wing,
841,7,Bitter Malice,
842,7,Shelter,
843,7,Triple Arrows,
844,7,Infernal Parade,
845,7,Ceaseless Edge,
846,7,Bleakwind Storm,
847,7,Wildbolt Storm,
848,7,Sandsear Storm,
849,7,Lunar Blessing,
850,7,Take Heart,
851,7,Tera Blast,
852,7,Silk Trap,
853,7,Axe Kick,
854,7,Last Respects,
855,7,Lumina Crash,
856,7,Order Up,
857,7,Jet Punch,
858,7,Spicy Extract,
859,7,Spin Out,
860,7,Population Bomb,
861,7,Ice Spinner,
862,7,Glaive Rush,
863,7,Revival Blessing,
864,7,Salt Cure,
865,7,Triple Dive,
866,7,Mortal Spin,
867,7,Doodle,
868,7,Fillet Away,
869,7,Kowtow Cleave,
870,7,Flower Trick,
871,7,Torch Song,
872,7,Aqua Step,
873,7,Raging Bull,
874,7,Make It Rain,
877,7,Ruination,
878,7,Collision Course,
879,7,Electro Drift,
880,7,Shed Tail,
881,7,Chilly Reception,
882,7,Tidy Up,
883,7,Snowscape,
884,7,Pounce,
885,7,Trailblaze,
886,7,Chilling Water,
887,7,Hyper Drill,
888,7,Twin Beam,
889,7,Rage Fist,
890,7,Armor Cannon,
891,7,Bitter Blade,
892,7,Double Shock,
893,7,Gigaton Hammer,
894,7,Comeuppance,
895,7,Aqua Cutter,
896,7,Blazing Torque,
897,7,Wicked Torque,
898,7,Noxious Torque,
899,7,Combat Torque,
900,7,Magical Torque,
901,7,Blood Moon,
902,7,Matcha Gotcha,
903,7,Syrup Bomb,
904,7,Ivy Cudgel,
