resource_id,language_id,english_name,translation
10001,8,Mountaineer,
10002,8,Wave Rider,
10003,8,Skater,
10004,8,Thrust,
10005,8,Perception,
10006,8,Parry,
10007,8,Instinct,
10008,8,Dodge,
10009,8,Jagged Edge,
10010,8,Frostbite,
10011,8,Tenacity,
10012,8,Pride,
10013,8,Deep Sleep,
10014,8,Power Nap,
10015,8,Spirit,
10016,8,Warm Blanket,
10017,8,Gulp,
10018,8,Herbivore,
10019,8,Sandpit,
10020,8,Hot Blooded,
10021,8,Medic,
10022,8,Life Force,
10023,8,Lunchbox,
10024,8,Nurse,
10025,8,Melee,
10026,8,Sponge,
10027,8,Bodyguard,
10028,8,Hero,
10029,8,Last Bastion,
10030,8,Stealth,
10031,8,Vanguard,
10032,8,Nomad,
10033,8,Sequence,
10034,8,Grass Cloak,
10035,8,Celebrate,
10036,8,Lullaby,
10037,8,Calming,
10038,8,Daze,
10039,8,Frighten,
10040,8,Interference,
10041,8,Mood Maker,
10042,8,Confidence,
10043,8,Fortune,
10044,8,Bonanza,
10045,8,Explode,
10046,8,Omnipotent,
10047,8,Share,
10048,8,Black Hole,
10049,8,Shadow Dash,
10050,8,Sprint,
10051,8,Disgust,
10052,8,High-rise,
10053,8,Climber,
10054,8,Flame Boost,
10055,8,Aqua Boost,
10056,8,Run Up,
10057,8,Conqueror,
10058,8,Shackle,
10059,8,Decoy,
10060,8,Shield,
