resource_id,language_id,english_name,translation
299,6,Mind’s Eye,
10001,6,Mountaineer,
10002,6,Wave Rider,
10003,6,Skater,
10004,6,Thrust,
10005,6,Perception,
10006,6,Parry,
10007,6,Instinct,
10008,6,Dodge,
10009,6,Jagged Edge,
10010,6,Frostbite,
10011,6,Tenacity,
10012,6,Pride,
10013,6,Deep Sleep,
10014,6,Power Nap,
10015,6,Spirit,
10016,6,Warm Blanket,
10017,6,Gulp,
10018,6,Herbivore,
10019,6,Sandpit,
10020,6,Hot Blooded,
10021,6,Medic,
10022,6,Life Force,
10023,6,Lunchbox,
10024,6,Nurse,
10025,6,Melee,
10026,6,Sponge,
10027,6,Bodyguard,
10028,6,Hero,
10029,6,Last Bastion,
10030,6,Stealth,
10031,6,Vanguard,
10032,6,Nomad,
10033,6,Sequence,
10034,6,Grass Cloak,
10035,6,Celebrate,
10036,6,Lullaby,
10037,6,Calming,
10038,6,Daze,
10039,6,Frighten,
10040,6,Interference,
10041,6,Mood Maker,
10042,6,Confidence,
10043,6,Fortune,
10044,6,Bonanza,
10045,6,Explode,
10046,6,Omnipotent,
10047,6,Share,
10048,6,Black Hole,
10049,6,Shadow Dash,
10050,6,Sprint,
10051,6,Disgust,
10052,6,High-rise,
10053,6,Climber,
10054,6,Flame Boost,
10055,6,Aqua Boost,
10056,6,Run Up,
10057,6,Conqueror,
10058,6,Shackle,
10059,6,Decoy,
10060,6,Shield,
