resource_id,language_id,english_name,translation
282,6,Space World 06,
283,6,Space World 07,
284,6,Space World 08,
285,6,Space World 09,
286,6,Space World 10,
287,6,Space World 11,
288,6,Space World 12,
289,6,Space World 13,
290,6,Space World 14,
291,6,Space World 15,
292,6,Space World 16,
294,6,Pokémon Festa 06,
295,6,Pokémon Festa 07,
296,6,Pokémon Festa 08,
297,6,Pokémon Festa 09,
298,6,Pokémon Festa 10,
299,6,Pokémon Festa 11,
300,6,Pokémon Festa 12,
301,6,Pokémon Festa 13,
302,6,Pokémon Festa 14,
303,6,Pokémon Festa 15,
304,6,Pokémon Festa 16,
305,6,POKéPARK,
306,6,POKéPARK 06,
307,6,POKéPARK 07,
308,6,POKéPARK 08,
309,6,POKéPARK 09,
310,6,POKéPARK 10,
311,6,POKéPARK 11,
312,6,POKéPARK 12,
313,6,POKéPARK 13,
314,6,POKéPARK 14,
315,6,POKéPARK 15,
316,6,POKéPARK 16,
326,6,Pokémon Event 06,
327,6,Pokémon Event 07,
328,6,Pokémon Event 08,
329,6,Pokémon Event 09,
330,6,Pokémon Event 10,
331,6,Pokémon Event 11,
332,6,Pokémon Event 12,
333,6,Pokémon Event 13,
334,6,Pokémon Event 14,
335,6,Pokémon Event 15,
336,6,Pokémon Event 16,
1088,6,hoenn-pokemart,
1089,6,hoenn-pokecenter,
1090,6,kanto-pokemart,
1091,6,kanto-pokecenter,
1092,6,sinnoh-pokemart,
1093,6,johto-pokemart,
1094,6,mirage-island,
