resource_id,language_id,english_name,translation
10001,5,Mountaineer,
10002,5,Wave Rider,
10003,5,Skater,
10004,5,Thrust,
10005,5,Perception,
10006,5,Parry,
10007,5,Instinct,
10008,5,Dodge,
10009,5,Jagged Edge,
10010,5,Frostbite,
10011,5,Tenacity,
10012,5,Pride,
10013,5,Deep Sleep,
10014,5,Power Nap,
10015,5,Spirit,
10016,5,Warm Blanket,
10017,5,Gulp,
10018,5,Herbivore,
10019,5,Sandpit,
10020,5,Hot Blooded,
10021,5,Medic,
10022,5,Life Force,
10023,5,Lunchbox,
10024,5,Nurse,
10025,5,Melee,
10026,5,Sponge,
10027,5,Bodyguard,
10028,5,Hero,
10029,5,Last Bastion,
10030,5,Stealth,
10031,5,Vanguard,
10032,5,Nomad,
10033,5,Sequence,
10034,5,Grass Cloak,
10035,5,Celebrate,
10036,5,Lullaby,
10037,5,Calming,
10038,5,Daze,
10039,5,Frighten,
10040,5,Interference,
10041,5,Mood Maker,
10042,5,Confidence,
10043,5,Fortune,
10044,5,Bonanza,
10045,5,Explode,
10046,5,Omnipotent,
10047,5,Share,
10048,5,Black Hole,
10049,5,Shadow Dash,
10050,5,Sprint,
10051,5,Disgust,
10052,5,High-rise,
10053,5,Climber,
10054,5,Flame Boost,
10055,5,Aqua Boost,
10056,5,Run Up,
10057,5,Conqueror,
10058,5,Shackle,
10059,5,Decoy,
10060,5,Shield,
